county,county_code,state,pop_total,pct_aian,pct_asian,pct_black,pct_nonwhite,pct_white,pm_24hr
Palm Beach County,12099,Florida,1320134,0.00457756561076376,0.0235582145448871,0.173232414285217,0.265134448472655,0.734865551527345,21
Pinellas County,12103,Florida,916542,0.00315533821690659,0.029620028323852,0.103372240442882,0.178551555738853,0.821448444261147,18
Polk County,12105,Florida,602095,0.00449430737674287,0.0162100665177422,0.147539840058463,0.247869522251472,0.752130477748528,19
Sarasota County,12115,Florida,379448,0.00249045982585229,0.0129214016149775,0.0469497796799561,0.0984535430414708,0.901546456958529,18
Seminole County,12117,Florida,422718,0.00327878159908024,0.037121674496946,0.111438358432809,0.217766927360557,0.782233072639443,16
Volusia County,12127,Florida,494593,0.00359487497801222,0.0152994482331938,0.10471438131959,0.174561710335569,0.825438289664431,17
Bibb County,13021,Georgia,155547,0.00213440310645657,0.0162716092242216,0.521488681877503,0.567982667618148,0.432017332381852,18
Chatham County,13051,Georgia,265128,0.00260628828339519,0.0238035967532664,0.401285416855255,0.471915452158957,0.528084547841043,18
Clarke County,13059,Georgia,116714,0.00211628425038984,0.0417173603852151,0.265503709923403,0.381068252309063,0.618931747690937,20
Clayton County,13063,Georgia,259424,0.00371977920315777,0.0498681694831627,0.661002837054397,0.811274207475022,0.188725792524978,24
Cobb County,13067,Georgia,688078,0.00336299082371475,0.0445545417816003,0.249643209054787,0.377944070294356,0.622055929705644,24
Coffee County,13069,Georgia,42356,0.00276230050051941,0.00715365001416564,0.266384927755218,0.35343280763056,0.64656719236944,16
DeKalb County,13089,Georgia,691893,0.00358292394922336,0.0512015586225038,0.54303916935133,0.667353189004658,0.332646810995342,22
Dougherty County,13095,Georgia,94565,0.00221012002326442,0.00778300639771586,0.671178554433458,0.704055411621636,0.295944588378364,24
Fulton County,13121,Georgia,920581,0.0024538851008222,0.0560178843578132,0.44056416545638,0.554958227467219,0.445041772532781,25
Gwinnett County,13135,Georgia,805321,0.00501414963722541,0.105910562372023,0.236138136221457,0.466594066217074,0.533405933782926,21
Hall County,13139,Georgia,179684,0.00451347921907349,0.0179537410119988,0.0739019612208099,0.258715300193673,0.741284699806327,19
Houston County,13153,Georgia,139900,0.00339528234453181,0.0243245175125089,0.28590421729807,0.36650464617584,0.63349535382416,21
Lowndes County,13185,Georgia,109233,0.00380837292759514,0.0145651954995285,0.358334935413291,0.418811165124093,0.581188834875908,19
Muscogee County,13215,Georgia,189885,0.00384969850172473,0.0217394738920926,0.455028043289359,0.537246227980093,0.462753772019907,23
Richmond County,13245,Georgia,200549,0.00341562411181307,0.0166094071772983,0.541678093632978,0.602969847767877,0.397030152232123,23
Washington County,13303,Georgia,21187,0.00117996884882239,0.00490867041110115,0.527351677915703,0.550148676074952,0.449851323925048,21
Ada County,16001,Idaho,392365,0.00665196946720528,0.0239751252022989,0.0113185426834707,0.0968944732583182,0.903105526741682,37
Benewah County,16009,Idaho,9285,0.0871297792137857,0.00290791599353797,0.00301561658589122,0.134194938072159,0.865805061927841,73
Canyon County,16027,Idaho,188923,0.0107345320580342,0.00804031271999704,0.00570073522016906,0.170296893443361,0.82970310655664,49
Franklin County,16041,Idaho,12786,0.00414515876740185,0.0011731581417175,0.00218989519787267,0.0564680118880025,0.943531988111997,26
Lemhi County,16059,Idaho,7936,0.00718245967741935,0.00378024193548387,0.00226814516129032,0.0355342741935484,0.964465725806452,38
Shoshone County,16079,Idaho,12765,0.0143360752056404,0.0036819428123776,0.00203681942812378,0.0462984723854289,0.953701527614571,34
Champaign County,17019,Illinois,201081,0.00273024303638832,0.0893619983986553,0.124059458626126,0.265967445954615,0.734032554045385,17
Cook County,17031,Illinois,5194675,0.00415021151467609,0.0621159167801643,0.247901360527848,0.446122808452887,0.553877191547113,23
DuPage County,17043,Illinois,916924,0.00263380607334959,0.100667012751329,0.0461826716281829,0.221156824338767,0.778843175661233,21
Hamilton County,17065,Illinois,8457,0.00236490481258129,0.00224665957195223,0.00366560245950101,0.0179732765756178,0.982026723424382,17
Jersey County,17083,Illinois,22985,0.00261039808570807,0.00335001087665869,0.00404611703284751,0.0241026756580379,0.975897324341962,17
Kane County,17089,Illinois,515269,0.0056028986801069,0.0347294325876387,0.0571002718968151,0.253694672103309,0.746305327896691,21
McHenry County,17111,Illinois,308760,0.00304119704624951,0.0252850110117891,0.0106328539966317,0.098791941961394,0.901208058038606,17
McLean County,17113,Illinois,169572,0.0022586276036138,0.0426190644681905,0.0732786073172458,0.157054230651287,0.842945769348713,19
Macon County,17115,Illinois,110768,0.00204030044778275,0.0100931677018634,0.162745558283981,0.206855770619674,0.793144229380327,18
Madison County,17119,Illinois,269282,0.00244724860926464,0.00837040723108117,0.0788578516202346,0.117501355456362,0.882498644543638,26
Randolph County,17157,Illinois,33476,0.00185207312701637,0.00310670330983391,0.097472816346039,0.124208388098937,0.875791611901063,19
Rock Island County,17161,Illinois,147546,0.00267713119976143,0.0163948870182858,0.0900668266167839,0.184105295975492,0.815894704024508,18
St. Clair County,17163,Illinois,270056,0.00241431406819326,0.0121308173119649,0.304759012945463,0.353993245845306,0.646006754154694,22
Sangamon County,17167,Illinois,197465,0.00199529030461094,0.0163066872610336,0.11817284075659,0.163887271161978,0.836112728838022,18
Will County,17197,Illinois,677560,0.00251343054489639,0.0455059330538993,0.11178788594368,0.240415608949761,0.759584391050239,21
Winnebago County,17201,Illinois,295266,0.00326146593241349,0.0230639491170673,0.122289731970494,0.225606741040282,0.774393258959718,21
Allen County,18003,Indiana,355329,0.00350660936765645,0.0273577445128318,0.117125255748898,0.207345868195391,0.792654131804609,18
Bartholomew County,18005,Indiana,76794,0.00272156678907206,0.0342735109513764,0.0184910279448915,0.10378414980337,0.89621585019663,16
Clark County,18019,Indiana,110232,0.00274874809492706,0.00793780390449234,0.0694988750997895,0.129463313738297,0.870536686261703,22
Delaware County,18035,Indiana,117671,0.00256647772178362,0.00972202156861079,0.0692269123233422,0.108769365434134,0.891230634565866,17
Dubois County,18037,Indiana,41889,0.00157559263768531,0.00451192437155339,0.00291245911814558,0.0489388622311347,0.951061137768865,16
Elkhart County,18039,Indiana,197559,0.00378114892260034,0.00969330680961131,0.0572335352983159,0.170921091926969,0.829078908073031,20
Greene County,18055,Indiana,33165,0.00280416101311624,0.00289461781999095,0.00147746117895372,0.0186039499472335,0.981396050052766,17
Hamilton County,18057,Indiana,274569,0.0019266559589757,0.0479842953865877,0.0349748150738066,0.115031194344591,0.884968805655409,20
Henry County,18065,Indiana,49462,0.00145566293316081,0.00315393635518176,0.0216327685900287,0.0426792284986454,0.957320771501355,16
Howard County,18067,Indiana,82752,0.0034561098221191,0.00894238205723124,0.0686388244392885,0.114414153132251,0.88558584686775,15
Lake County,18089,Indiana,496005,0.00328222497757079,0.012382939688108,0.258592151288797,0.356030685174545,0.643969314825455,20
Madison County,18095,Indiana,131636,0.00243094594183962,0.00420097845574159,0.0832826886262117,0.122945091008539,0.877054908991461,19
Marion County,18097,Indiana,903393,0.003211227007515,0.0202724617082488,0.266744373711109,0.372528899382661,0.627471100617339,24
Monroe County,18105,Indiana,137974,0.00255845304187746,0.0522852131561019,0.032549610796237,0.122233174366185,0.877766825633815,18
St. Joseph County,18141,Indiana,266931,0.0038586750883187,0.018866298781333,0.127216396746725,0.213384732384024,0.786615267615976,22
Spencer County,18147,Indiana,20952,0.00195685376097747,0.00343642611683849,0.00458190148911799,0.0313573883161512,0.968642611683849,17
Tippecanoe County,18157,Indiana,172780,0.00262183123046649,0.0621020951499016,0.0400104178724389,0.159682833661303,0.840317166338697,18
Vanderburgh County,18163,Indiana,179703,0.00222033021151567,0.0111461689565561,0.0909667618236757,0.138122346315866,0.861877653684134,19
Vigo County,18167,Indiana,107848,0.00337512054001929,0.0165139826422372,0.0689581633409984,0.117211260292263,0.882788739707737,22
Whitley County,18183,Indiana,33292,0.00276342664904482,0.00315391084945332,0.0029736873723417,0.0244202811486243,0.975579718851376,20
Black Hawk County,19013,Iowa,131090,0.00226561904035396,0.0130215882218323,0.0887939583492257,0.143985048440003,0.856014951559997,22
Clinton County,19045,Iowa,49116,0.00246355566414203,0.00570078996660966,0.0262847137389038,0.0603469337893965,0.939653066210603,22
Johnson County,19103,Iowa,130882,0.00219281490197277,0.052100365214468,0.0481731636130255,0.143633196314237,0.856366803685763,19
Lee County,19111,Iowa,35862,0.00189615749261056,0.00510289442864313,0.0311750599520384,0.0648318554458759,0.935168144554124,17
Linn County,19113,Iowa,211226,0.00267486010244951,0.0180186151326068,0.0395121812655639,0.0915701665514662,0.908429833448534,21
Montgomery County,19137,Iowa,10740,0.00353817504655494,0.0021415270018622,0.00232774674115456,0.0260707635009311,0.973929236499069,15
Muscatine County,19139,Iowa,42745,0.00311147502631887,0.00818809217452334,0.0141770967364604,0.109580067844192,0.890419932155808,22
Palo Alto County,19147,Iowa,9421,0.00222906273219403,0.00329052117609596,0.00467041715316845,0.0222906273219403,0.97770937267806,19
Polk County,19153,Iowa,430640,0.00321382128924392,0.0353427456808471,0.0600339030280513,0.152668121865131,0.847331878134869,17
Pottawattamie County,19155,Iowa,93158,0.00473389295605316,0.00611863715408231,0.0136005496038988,0.0708473775735847,0.929152622426415,22
