state,county,gisjoin,pop_enslaved_1860,pop_total_1860,pop_total_2010,pop_black_2010,pop_white_2010,income_black_2010,income_white_2010,pct_pop_enslaved_1860,had_rosenwald_school,was_confederate
Texas,Guadalupe,G4801870,1748,5444,131533,8512,105017,64951,61687,32.1087435709038,1,1
Texas,Hardin,G4801990,191,1353,54635,3193,49505,31908,55187,14.1167775314117,1,1
Texas,Harris,G4802010,2053,9070,4092459,775492,2318256,36233,60359,22.6350606394708,1,1
Texas,Harrison,G4802030,8784,15001,65631,14398,45020,22789,53929,58.5560962602493,1,1
Texas,Hays,G4802090,797,2126,157107,5536,126712,45029,60732,37.4882408278457,0,1
Texas,Henderson,G4802130,1116,4595,78532,4887,67395,23771,40939,24.2872687704026,1,1
Texas,Hidalgo,G4802150,1,1192,774769,4569,681649,48977,33910,0.0838926174496644,0,1
Texas,Hill,G4802170,650,3653,35089,2224,29307,24297,40729,17.7935943060498,0,1
Texas,Hopkins,G4802230,990,7745,35161,2483,28646,32262,42564,12.7824402840542,1,1
Texas,Houston,G4802250,2819,8058,23732,6179,15896,19505,38911,34.9838669645073,1,1
Texas,Hunt,G4802310,577,6630,86129,7133,70248,22697,46123,8.70286576168929,1,1
Texas,Jack,G4802370,50,1000,9044,340,7913,19886,46305,5,0,1
Texas,Jackson,G4802390,1194,2612,14075,988,11446,30795,52938,45.7120980091884,1,1
Texas,Jasper,G4802410,1611,4037,35710,5959,27738,17884,41672,39.9058706960614,1,1
Texas,Jefferson,G4802450,309,1995,252273,85291,131574,28971,53015,15.4887218045113,1,1
Texas,Johnson,G4802510,513,4305,150934,3979,131622,44657,55336,11.9163763066202,1,1
Texas,Karnes,G4802550,327,2171,14824,1377,10408,59844,42130,15.0621833256564,0,1
Texas,Kaufman,G4802570,533,3936,103350,10730,81776,47308,61361,13.5416666666667,1,1
Texas,Kerr,G4802650,49,634,49625,884,43505,18073,44043,7.72870662460568,0,1
Texas,Kinney,G4802710,0,61,3598,53,3187,16932,25087,0,0,1
Texas,Lamar,G4802770,2833,10136,49793,6703,39489,25850,41250,27.9498816101026,0,1
Texas,Lampasas,G4802810,153,1028,19677,632,16792,72222,46665,14.8832684824903,0,1
Texas,Lavaca,G4802850,1707,5945,19263,1301,16563,28083,43423,28.713204373423,1,1
Texas,Leon,G4802890,2620,6781,16801,1202,14258,16958,44868,38.6373691195989,1,1
Texas,Liberty,G4802910,1079,3189,75643,8202,58363,24637,48951,33.835058011916,1,1
Texas,Limestone,G4802930,1072,4537,23384,4103,16139,26754,46364,23.6279479832488,1,1
Texas,Madison,G4803130,675,2238,13664,2719,9149,25048,41848,30.1608579088472,1,1
Texas,Marion,G4803150,2017,3977,10546,2325,7752,16801,35795,50.7166205682675,1,1
Texas,Matagorda,G4803210,2107,3454,36702,4200,26137,20833,48071,61.0017371163868,1,1
Texas,Maverick,G4803230,1,726,54258,135,49617,10341,29468,0.137741046831956,0,1
Texas,McLennan,G4803090,2395,6206,234906,34767,164037,24874,44689,38.5916854656784,0,1
Texas,Medina,G4803250,106,1838,46006,1012,39369,20582,50455,5.76713819368879,0,1
Texas,Milam,G4803310,1542,5175,24757,2473,19347,18654,44884,29.7971014492754,1,1
Texas,Montgomery,G4803390,2811,5479,455746,19401,380593,42193,67533,51.3049826610695,1,1
Texas,Nacogdoches,G4803470,2359,8292,64524,11731,44249,19488,37955,28.4491075735649,1,1
Texas,Navarro,G4803490,1890,5996,47735,6606,33142,27425,45582,31.5210140093396,1,1
Texas,Newton,G4803510,1013,3119,14445,2901,11105,18064,41409,32.4783584482206,1,1
Texas,Nueces,G4803550,216,2906,340223,13637,277402,28125,45111,7.43289745354439,0,1
Texas,Orange,G4803610,392,1916,81837,6979,70478,26927,50284,20.4592901878914,0,1
Texas,Palo Pinto,G4803630,130,1524,28111,621,24497,26607,42136,8.53018372703412,0,1
Texas,Panola,G4803650,3058,8475,23796,3867,18267,30379,47782,36.0825958702065,1,1
Texas,Parker,G4803670,222,4213,116927,1915,106862,39886,61632,5.2694042250178,0,1
Texas,Polk,G4803730,4198,8300,45413,5211,35082,27460,34352,50.5783132530121,1,1
Texas,Red River,G4803870,3039,8535,12860,2233,9838,27383,38142,35.6063268892794,1,1
Texas,Refugio,G4803910,234,1600,7383,483,5943,46250,44337,14.625,1,1
Texas,Robertson,G4803950,2258,4997,16622,3586,11247,19085,50602,45.1871122673604,1,1
Texas,Rusk,G4804010,6132,15803,53330,9435,38512,30658,51519,38.8027589698159,1,1
Texas,Sabine,G4804030,1150,2750,10834,784,9658,26053,33828,41.8181818181818,0,1
Texas,San Augustine,G4804050,1717,4094,8865,2016,6375,19244,27235,41.9394235466536,1,1
Texas,San Patricio,G4804090,95,620,64804,1071,55660,30156,47926,15.3225806451613,0,1
Texas,Shackelford,G4804170,9,44,3378,29,3145,2499,48580,20.4545454545455,0,1
Texas,Shelby,G4804190,1476,5362,25448,4432,17467,20255,35649,27.5270421484521,1,1
Texas,Smith,G4804230,4982,13392,209714,37629,147086,27824,52056,37.2013142174433,1,1
Texas,Tarrant,G4804390,850,6020,1809034,268983,1205530,40333,61339,14.1196013289037,1,1
Texas,Titus,G4804490,2438,9648,32334,3091,21848,26994,41082,25.2694859038143,1,1
Texas,Travis,G4804530,3136,8080,1024266,87308,709814,36227,60809,38.8118811881188,1,1
