year,month,day,wday,pct_delayed,n_delayed,n_flights,pct_weather_delays,pct_security_delays,diff_pct_delayed,diff_n_delayed,diff_n_flights,diff_pct_weather_delays,diff_pct_security_delays,is_weekend,time
2008,1,1,2,47.2592059493823,3940,8354,7.40962413215226,0.766100071821882,,,,,,0,1
2008,1,2,3,47.3912241887906,5141,10857,3.6658377083909,1.44607165883762,0.132018239408289,1201,2503,-3.74378642376136,0.679971587015734,0,2
2008,1,3,4,37.9924036896365,3501,9225,2.03794037940379,0.639566395663957,-9.3988204991541,-1640,-1632,-1.62789732898711,-0.80650526317366,0,3
2008,1,4,5,40.2756073305867,2835,7071,4.24268137462876,0.480837222457927,2.28320364095027,-666,-2154,2.20474099522497,-0.15872917320603,0,4
2008,1,5,6,48.3759701063524,3366,7005,3.48322626695218,0.556745182012848,8.10036277576567,531,-66,-0.759455107676588,0.0759079595549212,1,5
2008,1,6,7,44.2302970783206,3603,8179,3.26445775767209,0.599095243917349,-4.14567302803175,237,1174,-0.218768509280089,0.0423500619045014,1,6
2008,1,7,1,43.8581314878893,2535,5814,4.59236326109391,0.292397660818713,-0.372165590431372,-1068,-2365,1.32790550342182,-0.306697583098636,0,7
2008,1,8,2,45.5522609340252,2458,5406,2.86718460969293,0.369959304476508,1.69412944613592,-77,-408,-1.72517865140098,0.0775616436577942,0,8
2008,1,9,3,34.7177319074857,1396,4026,2.30998509687034,0.124192747143567,-10.8345290265395,-1062,-1380,-0.557199512822591,-0.245766557332941,0,9
2008,1,10,4,42.6563454878794,2094,4921,4.42999390367811,0.487705750863646,7.93861358039371,698,895,2.12000880680777,0.363513003720079,0,10
2008,1,11,5,45.0366937041329,2332,5192,4.73805855161787,0.192604006163328,2.38034821625346,238,271,0.30806464793976,-0.295101744700317,0,11
2008,1,12,6,26.5075376884422,633,2410,1.6597510373444,0.29045643153527,-18.5291560156907,-1699,-2782,-3.07830751427348,0.0978524253719415,1,12
2008,1,13,7,32.0861431368284,1475,4606,2.71385149804603,0.347372991749891,5.57860544838616,842,2196,1.05410046070163,0.0569165602146217,1,13
2008,1,14,1,39.065606361829,1572,4030,6.74937965260546,0.272952853598015,6.97946322500066,97,-576,4.03552815455943,-0.0744201381518765,0,14
2008,1,15,2,35.5549116198203,1227,3464,3.49307159353349,0.0577367205542725,-3.51069474200869,-345,-566,-3.25630805907197,-0.215216133043742,0,15
2008,1,16,3,31.4820691843859,992,3167,4.7047679191664,0.157878118092832,-4.07284243543443,-235,-297,1.21169632563292,0.10014139753856,0,16
2008,1,17,4,52.3207318713844,3889,7454,10.3434397638852,0.228065468204991,20.8386626869985,2897,4287,5.63867184471876,0.0701873501121583,0,17
2008,1,18,5,38.5552059105213,2818,7323,3.31831216714461,0.368701351904957,-13.7655259608631,-1071,-131,-7.02512759674055,0.140635883699966,0,18
2008,1,19,6,38.9364974730828,1772,4565,7.57940854326396,0.153340635268346,0.381291562561565,-1046,-2758,4.26109637611935,-0.215360716636611,1,19
2008,1,20,7,33.1506248629687,1512,4574,2.9951902055094,0.371665937909926,-5.78587261011419,-260,9,-4.58421833775456,0.21832530264158,1,20
2008,1,21,1,54.2751403777438,4253,7859,8.91970988675404,0.254485303473724,21.1245155147751,2741,3285,5.92451968124464,-0.117180634436201,0,21
2008,1,22,2,51.7754868270332,3616,6997,4.78776618550808,0.171502072316707,-2.49965355071052,-637,-862,-4.13194370124597,-0.0829832311570172,0,22
2008,1,23,3,47.7345365670239,2539,5331,6.5653723504033,0.262614894016132,-4.04095026000935,-1077,-1666,1.77760616489523,0.0911128216994249,0,23
2008,1,24,4,36.6424116424116,2115,5788,2.93711126468556,0.155494125777471,-11.0921249246122,-424,457,-3.62826108571775,-0.107120768238661,0,24
2008,1,25,5,42.0545009185548,2747,6549,4.80989464040312,0.29012062910368,5.41208927614316,632,761,1.87278337571756,0.134626503326209,0,25
2008,1,26,6,35.0842418235877,1416,4049,4.12447517905656,0.271672017782168,-6.9702590949671,-1331,-2500,-0.685419461346558,-0.0184486113215115,1,26
2008,1,27,7,52.3371206673378,3639,7002,8.91173950299914,0.314195944015995,17.2528788437501,2223,2953,4.78726432394259,0.042523926233827,1,27
2008,1,28,1,45.2809991079393,2538,5625,3.92888888888889,0.142222222222222,-7.05612155939851,-1101,-1377,-4.98285061411026,-0.171973721793773,0,28
2008,1,29,2,52.530276816609,2429,4665,8.40300107181136,0.128617363344051,7.24927770866967,-109,-960,4.47411218292247,-0.0136048588781708,0,29
2008,1,30,3,38.6978942844865,1801,4667,4.54253267623741,0.171416327405185,-13.8323825321225,-628,2,-3.86046839557395,0.0427989640611339,0,30
2008,1,31,4,60.0711548987411,4390,7352,13.2208922742111,0.272034820457019,21.3732606142547,2589,2685,8.67835959797369,0.100618493051833,0,31
2008,2,1,5,55.183199285076,4940,9002,8.55365474339036,0.499888913574761,-4.88795561366515,550,1650,-4.66723753082074,0.227854093117743,0,32
2008,2,2,6,36.7088607594937,1537,4194,3.83881735813066,0.453028135431569,-18.4743385255823,-3403,-4808,-4.7148373852597,-0.0468607781431922,1,33
2008,2,3,7,52.6219288595526,2870,5496,8.04221251819505,0.200145560407569,15.913068100059,1333,1302,4.20339516006439,-0.252882575024,1,34
2008,2,4,1,55.1107552708834,4130,7614,4.34725505647492,0.591016548463357,2.48882641133075,1260,2118,-3.69495746172014,0.390870988055788,0,35
2008,2,5,2,52.4092615769712,3350,6444,10.6610800744879,0.0775915580384854,-2.70149369391216,-780,-1170,6.31382501801298,-0.513424990424872,0,36
