Year,County,BLM,USFS,State,County and Municipal,Industry,NIP,Native American,Total Of Volume,Total Private,Total Public
2016,MARION,2390,9757,7594,0,34027,14953,0,68721,48980,19741
2016,MORROW,0,5,0,0,0,813,0,818,813,5
2016,MULTNOMAH,0,0,0,0,15142,2928,0,18070,18070,0
2016,POLK,10149,0,0,0,93273,15401,0,118823,108674,10149
2016,SHERMAN,0,0,0,0,0,0,0,0,0,0
2016,TILLAMOOK,654,5814,85500,363,109139,8810,0,210280,117949,92331
2016,UMATILLA,0,4657,0,0,7716,3012,0,15385,10728,4657
2016,UNION,0,3549,0,608,31916,7136,0,43209,39052,4157
2016,WALLOWA,1088,17161,6693,0,28719,3528,0,57189,32247,24942
2016,WASCO,0,9225,0,0,0,848,22000,32073,22848,9225
2016,WASHINGTON,2804,0,20167,2217,55288,36948,0,117424,92236,25188
2016,WHEELER,0,5603,0,0,0,124,0,5727,124,5603
2016,YAMHILL,5464,1451,4,4960,53735,19265,11624,96503,84624,11879
2017,BAKER,0,11861,0,0,41,1165,0,13067,1206,11861
2017,BENTON,483,3239,10257,620,82471,30743,0,127813,113214,14599
2017,CLACKAMAS,5234,16604,1297,25,98369,40942,0,162471,139311,23160
2017,CLATSOP,0,0,115895,2269,166123,7103,0,291390,173226,118164
2017,COLUMBIA,3659,0,8399,641,142388,22178,0,177265,164566,12699
2017,COOS,17563,9947,10,12070,147215,31070,3079,220954,181364,39590
2017,CROOK,0,7067,0,0,3377,16,0,10460,3393,7067
2017,CURRY,2002,12210,0,0,84708,17845,1773,118538,104326,14212
2017,DESCHUTES,0,22159,0,0,7423,21,0,29603,7444,22159
2017,DOUGLAS,35693,11273,5924,2132,464519,69226,0,588767,533745,55022
2017,GILLIAM,0,0,0,0,0,0,0,0,0,0
2017,GRANT,0,26870,0,0,14,768,0,27652,782,26870
2017,HARNEY,0,2717,0,0,263,0,0,2980,263,2717
2017,HOOD RIVER,0,5632,0,12680,9363,2060,0,29735,11423,18312
2017,JACKSON,12517,31339,0,0,53787,6462,0,104105,60249,43856
2017,JEFFERSON,0,225,0,0,0,0,0,225,0,225
2017,JOSEPHINE,1767,42,266,3390,11343,15039,0,31847,26382,5465
2017,KLAMATH,4111,19423,9188,0,49288,3073,0,85083,52361,32722
2017,LAKE,0,28518,0,0,7834,2299,0,38651,10133,28518
2017,LANE,30915,54035,12966,1021,397110,59084,0,555131,456194,98937
2017,LINCOLN,3482,18121,9924,0,137699,12976,2543,184745,153218,31527
2017,LINN,24886,10971,19608,0,225514,24687,0,305666,250201,55465
2017,MALHEUR,0,0,0,0,1068,0,0,1068,1068,0
2017,MARION,605,9346,5803,0,33404,14188,0,63346,47592,15754
2017,MORROW,0,28,0,0,0,925,0,953,925,28
2017,MULTNOMAH,0,0,0,0,9876,5796,0,15672,15672,0
2017,POLK,12483,0,0,0,106358,11770,0,130611,118128,12483
2017,SHERMAN,0,0,0,0,0,0,0,0,0,0
2017,TILLAMOOK,0,3313,69399,2004,111222,5728,0,191666,116950,74716
2017,UMATILLA,0,2516,256,0,5404,3494,1222,12892,10120,2772
2017,UNION,0,1921,0,1550,34105,9847,0,47423,43952,3471
2017,WALLOWA,0,5901,0,0,32121,4658,0,42680,36779,5901
2017,WASCO,0,4138,0,0,2580,1656,0,8374,4236,4138
2017,WASHINGTON,3139,0,32443,1631,45314,39430,0,121957,84744,37213
2017,WHEELER,0,5995,0,0,455,232,0,6682,687,5995
2017,YAMHILL,1851,9211,1,4425,64695,21383,0,101566,86078,15488
2018,BAKER,0,3697,69,9,7032,5205,0,16012,12237,3775
2018,BENTON,1665,3997,12830,6,81480,26256,0,126234,107736,18498
2018,CLACKAMAS,449,13278,2765,45,68441,77958,0,162936,146399,16537
2018,CLATSOP,0,0,85788,734,169049,5183,0,260754,174232,86522
2018,COLUMBIA,5912,0,11213,6646,110742,28648,0,163161,139390,23771
2018,COOS,14499,13912,0,21878,157008,39963,6722,253982,203693,50289
2018,CROOK,0,5186,0,0,53,518,0,5757,571,5186
2018,CURRY,3701,8171,29,6,90415,10054,0,112376,100469,11907
2018,DESCHUTES,0,32742,0,0,3904,383,0,37029,4287,32742
2018,DOUGLAS,25696,22582,1579,8246,507207,89383,0,654693,596590,58103
2018,GILLIAM,0,0,0,0,0,0,0,0,0,0
2018,GRANT,0,27377,1701,0,16,3251,0,32345,3267,29078
2018,HARNEY,0,4091,0,0,0,0,0,4091,0,4091
2018,HOOD RIVER,0,5403,0,12679,12366,8600,0,39048,20966,18082
2018,JACKSON,10951,13327,0,1499,66367,8043,0,100187,74410,25777
2018,JEFFERSON,0,1430,0,0,0,0,0,1430,0,1430
